,Plastic,response,SE,df,lower.CL,upper.CL,.group,resp,timepoint
224,PLA,1.390077733,0.127225506,19,1.123791689,1.656363778,C,cumulative_priming,5
125,PLA/PHA,3.97967551,0.117787931,19,3.733142538,4.226208483,A,cumulative_priming,5
425,LDPE,-0.633681928,2.449655095,24,-5.689521556,4.422157699,C,cumulative_priming,15
325,PBS,30.20230718,2.449655095,24,25.14646755,35.25814681,B,cumulative_priming,15
225,PLA,4.655833215,2.449655095,24,-0.400006413,9.711672843,C,cumulative_priming,15
126,PLA/PHA,112.1051459,2.449655095,24,107.0493063,117.1609856,A,cumulative_priming,15
426,LDPE,-2.930915533,3.365138264,24,-9.876219556,4.01438849,C,cumulative_priming,30
326,PBS,39.52319303,3.365138264,24,32.57788901,46.46849706,B,cumulative_priming,30
226,PLA,7.193650636,3.365138264,24,0.248346613,14.13895466,C,cumulative_priming,30
127,PLA/PHA,159.2224107,3.365138264,24,152.2771066,166.1677147,A,cumulative_priming,30
427,LDPE,-45.42883856,10.09585503,24,-66.26565922,-24.59201789,D,cumulative_priming,193
327,PBS,73.14212779,10.09585503,24,52.30530712,93.97894846,B,cumulative_priming,193
227,PLA,8.810949191,10.09585503,24,-12.02587148,29.64776986,C,cumulative_priming,193
128,PLA/PHA,371.3737667,10.09585503,24,350.5369461,392.2105874,A,cumulative_priming,193
428,LDPE,0.218810416,0.250560552,24,-0.298321146,0.735941979,C,priming,5
328,PBS,2.458489768,0.250560552,24,1.941358206,2.975621331,B,priming,5
228,PLA,0.34007806,0.250560552,24,-0.177053503,0.857209623,C,priming,5
129,PLA/PHA,8.752566243,0.250560552,24,8.235434681,9.269697806,A,priming,5
429,LDPE,-0.441695994,0.104429012,24,-0.657226883,-0.226165105,D,priming,15
329,PBS,0.865416028,0.104429012,24,0.649885139,1.080946916,B,priming,15
229,PLA,0.184358247,0.104429012,24,-0.031172641,0.399889136,C,priming,15
130,PLA/PHA,3.468800241,0.104429012,24,3.253269353,3.68433113,A,priming,15
430,LDPE,-0.069719989,0.060836953,24,-0.195281288,0.055841311,C,priming,30
330,PBS,0.747081389,0.060836953,24,0.62152009,0.872642688,B,priming,30
230,PLA,0.145878826,0.060836953,24,0.020317527,0.271440126,C,priming,30
131,PLA/PHA,2.808870833,0.060836953,24,2.683309534,2.934432133,A,priming,30
431,LDPE,-0.377293289,0.099897932,24,-0.583472487,-0.171114091,B,priming,193
331,PBS,-0.063284793,0.099897932,24,-0.269463991,0.142894404,B,priming,193
231,PLA,0.010251632,0.099897932,24,-0.195927566,0.216430829,B,priming,193
132,PLA/PHA,0.890780386,0.099897932,24,0.684601189,1.096959584,A,priming,193
232,LDPE,0.672141766,0.087358587,19,0.489298142,0.854985391,C,cumulative_priming_relative,5
133,PBS,1.23304122,0.053495991,19,1.121072825,1.345009616,B,cumulative_priming_relative,5
432,PLA,0.665739932,0.057782274,19,0.544800242,0.786679621,C,cumulative_priming_relative,5
332,PLA/PHA,1.913883384,0.053495991,19,1.801914988,2.025851779,A,cumulative_priming_relative,5
433,LDPE,-0.084640702,0.322800326,24,-0.750867829,0.581586426,C,cumulative_priming_relative,15
333,PBS,3.736276357,0.322800326,24,3.070049229,4.402503484,B,cumulative_priming_relative,15
233,PLA,0.607978904,0.322800326,24,-0.058248224,1.274206031,C,cumulative_priming_relative,15
134,PLA/PHA,14.09975006,0.322800326,24,13.43352293,14.76597719,A,cumulative_priming_relative,15
434,LDPE,-0.443962241,0.485775289,24,-1.446553162,0.55862868,C,cumulative_priming_relative,30
334,PBS,5.285262413,0.485775289,24,4.282671492,6.287853334,B,cumulative_priming_relative,30
234,PLA,1.058526232,0.485775289,24,0.055935311,2.061117153,C,cumulative_priming_relative,30
135,PLA/PHA,22.0583528,0.485775289,24,21.05576188,23.06094373,A,cumulative_priming_relative,30
435,LDPE,-12.40170939,2.871022164,24,-18.3272079,-6.476210873,C,cumulative_priming_relative,193
335,PBS,13.95240293,2.871022164,24,8.026904416,19.87790145,B,cumulative_priming_relative,193
235,PLA,2.776628977,2.871022164,24,-3.148869538,8.702127492,B,cumulative_priming_relative,193
136,PLA/PHA,81.02159883,2.871022164,24,75.09610031,86.94709734,A,cumulative_priming_relative,193
436,LDPE,0.027726173,0.031123491,24,-0.036509555,0.091961901,C,priming_relative,5
336,PBS,0.305049705,0.031123491,24,0.240813977,0.369285433,B,priming_relative,5
236,PLA,0.043242136,0.031123491,24,-0.020993593,0.107477864,C,priming_relative,5
137,PLA/PHA,1.094151781,0.031123491,24,1.029916052,1.158387509,A,priming_relative,5
437,LDPE,-0.068377242,0.016691773,24,-0.102827367,-0.033927117,D,priming_relative,15
337,PBS,0.130259895,0.016691773,24,0.095809769,0.16471002,B,priming_relative,15
237,PLA,0.03423987,0.016691773,24,-0.000210255,0.068689996,C,priming_relative,15
138,PLA/PHA,0.533953413,0.016691773,24,0.499503288,0.568403539,A,priming_relative,15
438,LDPE,-0.007180065,0.011678013,24,-0.0312823,0.016922169,C,priming_relative,30
338,PBS,0.136372857,0.011678013,24,0.112270623,0.160475092,B,priming_relative,30
238,PLA,0.036844598,0.011678013,24,0.012742363,0.060946832,C,priming_relative,30
139,PLA/PHA,0.535577538,0.011678013,24,0.511475303,0.559679772,A,priming_relative,30
439,LDPE,-0.136518794,0.037067499,24,-0.213022351,-0.060015236,C,priming_relative,193
339,PBS,-0.021334134,0.037067499,24,-0.097837691,0.055169423,BC,priming_relative,193
239,PLA,0.009703401,0.037067499,24,-0.066800156,0.086206958,B,priming_relative,193
140,PLA/PHA,0.330587809,0.037067499,24,0.254084252,0.407091366,A,priming_relative,193
440,LDPE,0.002690192,7.77E-05,24,0.002532149,0.002853018,D,cumulative_CO2_std,5
340,PBS,0.007714781,0.000131637,24,0.007445487,0.007988859,B,cumulative_CO2_std,5
240,PLA,0.004764538,0.000103449,24,0.004553421,0.004980439,C,cumulative_CO2_std,5
141,PLA/PHA,0.028291307,0.000252083,24,0.027773425,0.028813973,A,cumulative_CO2_std,5
441,LDPE,0.006779964,0.000243288,24,0.006277842,0.007282087,D,cumulative_CO2_std,15
341,PBS,0.016001725,0.000243288,24,0.015499603,0.016503847,B,cumulative_CO2_std,15
241,PLA,0.011843377,0.000243288,24,0.011341255,0.012345499,C,cumulative_CO2_std,15
142,PLA/PHA,0.061685467,0.000243288,24,0.061183344,0.062187589,A,cumulative_CO2_std,15
442,LDPE,0.011863476,0.00020014,24,0.011454002,0.012280141,D,cumulative_CO2_std,30
342,PBS,0.025616534,0.000294096,24,0.025013146,0.026227114,B,cumulative_CO2_std,30
242,PLA,0.02096853,0.00026608,24,0.020422963,0.021521289,C,cumulative_CO2_std,30
143,PLA/PHA,0.099024351,0.000578229,24,0.097834541,0.100221353,A,cumulative_CO2_std,30
443,LDPE,0.045247731,0.000882939,24,0.043425435,0.047070027,D,cumulative_CO2_std,193
343,PBS,0.083721995,0.000882939,24,0.081899699,0.085544291,B,cumulative_CO2_std,193
243,PLA,0.08009997,0.000882939,24,0.078277674,0.081922266,C,cumulative_CO2_std,193
144,PLA/PHA,0.301388003,0.000882939,24,0.299565707,0.303210299,A,cumulative_CO2_std,193
244,LDPE,4.41E-05,1.26E-05,24,2.19E-05,7.38E-05,C,cumulative_CO2_plastic_std,5
145,PBS,0.002138368,8.76E-05,24,0.001961411,0.002322966,B,cumulative_CO2_plastic_std,5
444,PLA,7.10E-06,5.05E-06,24,5.05E-07,2.13E-05,D,cumulative_CO2_plastic_std,5
344,PLA/PHA,0.016824604,0.00024569,24,0.016321346,0.017335503,A,cumulative_CO2_plastic_std,5
245,LDPE,0.000208234,2.86E-05,24,0.000153353,0.000271494,C,cumulative_CO2_plastic_std,15
146,PBS,0.003146463,0.000111254,24,0.002921036,0.003380269,B,cumulative_CO2_plastic_std,15
445,PLA,2.26E-05,9.43E-06,24,7.34E-06,4.63E-05,D,cumulative_CO2_plastic_std,15
