"Tube","Date","Plastic","Nitrogen","CO2Flux","CO2Flux_plastic","daily_CO2","daily_CO2_plastic","daily_CO2_native","cumulative_CO2","cumulative_CO2_plastic","cumulative_CO2_native"
127,2023-07-30,"LDPE","N0",NA,NA,1.71745433085975,0.279418168903618,1.43803616195614,718.299036140082,41.8069091559048,676.492126984177
127,2023-07-31,"LDPE","N0",NA,NA,1.71760049766261,0.223534535122894,1.49406596253972,720.016636637744,42.0304436910277,677.986192946717
127,2023-08-01,"LDPE","N0",NA,NA,1.71774666446547,0.167650901342171,1.5500957631233,721.73438330221,42.1980945923699,679.53628870984
127,2023-08-02,"LDPE","N0",NA,NA,1.71789283126833,0.111767267561447,1.60612556370688,723.452276133478,42.3098618599313,681.142414273547
127,2023-08-03,"LDPE","N0",NA,NA,1.71803899807119,0.0558836337807235,1.66215536429047,725.170315131549,42.365745493712,682.804569637837
127,2023-08-04,"LDPE","N0",0.0715910485364186,0,1.71818516487405,0,1.71818516487405,726.888500296423,42.365745493712,684.522754802711
127,2023-08-05,"LDPE","N0",NA,NA,1.80389816756392,0,1.80389816756392,728.692398463987,42.365745493712,686.326652970275
127,2023-08-06,"LDPE","N0",NA,NA,1.88961117025379,0,1.88961117025379,730.582009634241,42.365745493712,688.216264140529
127,2023-08-07,"LDPE","N0",NA,NA,1.97532417294365,0,1.97532417294365,732.557333807185,42.365745493712,690.191588313473
127,2023-08-08,"LDPE","N0",NA,NA,2.06103717563352,0,2.06103717563352,734.618370982818,42.365745493712,692.252625489106
127,2023-08-09,"LDPE","N0",NA,NA,2.14675017832339,0,2.14675017832339,736.765121161142,42.365745493712,694.39937566743
127,2023-08-10,"LDPE","N0",NA,NA,2.23246318101326,0,2.23246318101326,738.997584342155,42.365745493712,696.631838848443
127,2023-08-11,"LDPE","N0",NA,NA,2.31817618370313,0,2.31817618370313,741.315760525858,42.365745493712,698.950015032146
127,2023-08-12,"LDPE","N0",NA,NA,2.403889186393,0,2.403889186393,743.719649712251,42.365745493712,701.353904218539
127,2023-08-13,"LDPE","N0",NA,NA,2.48960218908287,0,2.48960218908287,746.209251901334,42.365745493712,703.843506407622
127,2023-08-14,"LDPE","N0",NA,NA,2.57531519177274,0,2.57531519177274,748.784567093107,42.365745493712,706.418821599395
127,2023-08-15,"LDPE","N0",NA,NA,2.6610281944626,0,2.6610281944626,751.445595287569,42.365745493712,709.079849793857
127,2023-08-16,"LDPE","N0",NA,NA,2.74674119715247,0,2.74674119715247,754.192336484722,42.365745493712,711.82659099101
127,2023-08-17,"LDPE","N0",NA,NA,2.83245419984234,0,2.83245419984234,757.024790684564,42.365745493712,714.659045190852
127,2023-08-18,"LDPE","N0",0.121590300105509,0,2.91816720253221,0,2.91816720253221,759.942957887096,42.365745493712,717.577212393384
127,2023-08-19,"LDPE","N0",NA,NA,2.91546015616024,0,2.91546015616024,762.858418043257,42.365745493712,720.492672549544
127,2023-08-20,"LDPE","N0",NA,NA,2.91275310978828,0,2.91275310978828,765.771171153045,42.365745493712,723.405425659333
127,2023-08-21,"LDPE","N0",NA,NA,2.91004606341631,0,2.91004606341631,768.681217216461,42.365745493712,726.315471722749
127,2023-08-22,"LDPE","N0",NA,NA,2.90733901704434,0,2.90733901704434,771.588556233505,42.365745493712,729.222810739793
127,2023-08-23,"LDPE","N0",NA,NA,2.90463197067238,0,2.90463197067238,774.493188204178,42.365745493712,732.127442710466
127,2023-08-24,"LDPE","N0",NA,NA,2.90192492430041,0,2.90192492430041,777.395113128478,42.365745493712,735.029367634766
127,2023-08-25,"LDPE","N0",NA,NA,2.89921787792844,0,2.89921787792844,780.294331006407,42.365745493712,737.928585512695
127,2023-08-26,"LDPE","N0",NA,NA,2.89651083155648,0,2.89651083155648,783.190841837963,42.365745493712,740.825096344251
127,2023-08-27,"LDPE","N0",NA,NA,2.89380378518451,0,2.89380378518451,786.084645623148,42.365745493712,743.718900129436
127,2023-08-28,"LDPE","N0",NA,NA,2.89109673881254,0,2.89109673881254,788.97574236196,42.365745493712,746.609996868248
127,2023-08-29,"LDPE","N0",NA,NA,2.88838969244058,0,2.88838969244058,791.864132054401,42.365745493712,749.498386560689
127,2023-08-30,"LDPE","N0",0.120236776919525,0,2.88568264606861,0,2.88568264606861,794.749814700469,42.365745493712,752.384069206757
