"","X","Jar.No","Sample.ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic.code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","X13C","day","cacq","Rep","original_c","c_added","SOC_std"
"11",11,11,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",57.1234513026052,95.5153464703311,13.4944489807557,0.527331544351671,6.11,107.111914208252,43.6299105117275,41.0776797488812,19.6893587213055,0.109,1.111,-26.5454052939072,5,170.431183441285,"3",NA,0,NA
"12",12,12,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",60.7404560822764,118.550432890897,12.1065477999535,0.367259955184251,6.13,116.303707825088,46.3578608955564,46.9787983317205,21.8274498659812,0.109,2.421,-30.9601278445079,5,184.489018586626,"3",NA,17.2274,1.40531943299627
"13",13,13,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",69.3447731604057,87.4982042691347,6.26161268166354,0.198621529889937,6.33,120.88271255244,49.0297958804169,48.5487289768419,21.9783741775732,0.111,2.378,-21.6551109810369,5,191.89088261043,"3",NA,11.1866666666667,2.12574493444577
"14",14,14,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",66.5516315918485,166.020286497968,0.566811418007304,0.622708720784706,6.94,63.9866230217201,27.5362712198897,132.968516682985,14.5562279097661,0.109,2.079,-19.2205883001419,5,106.079122151376,"3",NA,9.43873333333334,2.20262605858131
"15",15,15,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",59.5637098303888,58.9575204350772,12.2334863538075,2.3277991437459,6.11,126.763622177513,53.0759711094125,44.442684289264,22.1057989213703,0.11,2.239,-18.7682891985791,5,201.945392208296,"3",NA,10.0086,2.23707611454149
"16",16,16,"CON0T1","NONE","N0","NONE-N0","T1","5D","CO",63.9298543778802,59.2985277134481,11.8680934071025,3.61863699264338,6.12,58.5872240976976,33.1903455659567,26.9602339287288,19.1552284826262,0.107,1.112,-26.3268446542258,5,110.93279814628,"4",NA,0,NA
"17",17,17,"LDN0T1","LDPE","N0","LDPE-N0","T1","5D","LD",62.5811958090219,111.900186384459,10.6029336965623,0.874940625477984,6.14,57.8082187866088,29.1068986904936,27.8347149254016,15.1526657155867,0.091,2.77,-31.0997638087487,5,102.067783192689,"4",NA,17.2274,1.60790368831048
"18",18,18,"BSN0T1","PBS","N0","PBS-N0","T1","5D","BS",67.3458617538939,91.1615814236902,5.50016195735438,1.15404354901755,6.3,59.9843925183392,24.4125160401296,24.7128336522622,14.1051967120209,0.108,2.401,-20.7717617289915,5,98.5021052704897,"4",NA,11.1866666666667,2.14630512514899
"19",19,19,"HAN0T1","PLA/PHA","N0","PLA/PHA-N0","T1","5D","HA",64.842441388565,157.426908405674,5.01489412761773,0.95455181625321,6.9,63.5241993687652,25.7351041471757,131.751642375706,14.5309688972658,0.108,1.901,-20.4773119783096,5,103.790272413207,"4",NA,9.43873333333334,2.01404143211307
"20",20,20,"PLN0T1","PLA","N0","PLA-N0","T1","5D","PL",60.1365384807388,64.7032348167832,10.7688429703882,0.797533184110875,6.11,56.4798099831657,23.5593753613733,24.5127377588956,12.2745928078038,0.107,2.101,-18.8542968577129,5,92.3137781523428,"4",NA,10.0086,2.09919469256439
