"Plastic","Nitrogen","Tube","Date","CO2Flux","CO2Flux_plastic","Day","daily_CO2","daily_CO2_plastic"
"PBS","N0",138,"05/11/2023",0.244064129197445,0.010266754443453,"67",5.85753910073868,0.246402106642873
"PLA/PHA","N0",124,"05/11/2023",0.754763759055812,0.473802346909846,"67",18.1143302173395,11.3712563258363
"PLA/PHA","N0",129,"05/11/2023",0.751697297966357,0.47296431168524,"67",18.0407351511926,11.3511434804458
"PLA/PHA","N0",134,"05/11/2023",0.717569575789085,0.445331113752465,"67",17.221669818938,10.6879467300592
"PLA/PHA","N0",139,"05/11/2023",0.68182509705847,0.424071605722663,"67",16.3638023294033,10.1777185373439
"PLA","N0",125,"05/11/2023",0.212360007717043,0.00332469484890134,"67",5.09664018520904,0.0797926763736322
"PLA","N0",130,"05/11/2023",0.197286498354777,0.000744509769476719,"67",4.73487596051464,0.0178682344674412
"PLA","N0",135,"05/11/2023",0.211069025128435,0,"67",5.06565660308245,0
"PLA","N0",140,"05/11/2023",0.213439392667548,0,"67",5.12254542402116,0
"NONE","N1",141,"05/11/2023",0.134278875787685,0,"67",3.22269301890444,0
"NONE","N1",146,"05/11/2023",0.133930835060754,0,"67",3.21434004145809,0
"NONE","N1",151,"05/11/2023",0.133583442716547,0,"67",3.20600262519712,0
"NONE","N1",156,"05/11/2023",0.136017095462106,0,"67",3.26441029109054,0
"LDPE","N1",142,"05/11/2023",0.140557361092871,0.00404964376665714,"67",3.37337666622889,0.0971914503997713
"LDPE","N1",147,"05/11/2023",0.149529565132449,0.0129133520508522,"67",3.58870956317879,0.309920449220453
"LDPE","N1",152,"05/11/2023",0.144510921432238,0.0107435529801824,"67",3.46826211437372,0.257845271524379
"LDPE","N1",157,"05/11/2023",0.115014014347099,0,"67",2.76033634433037,0
"PBS","N1",143,"05/11/2023",0.156420293900215,0.00896891700284803,"67",3.75408705360515,0.215254008068353
"PBS","N1",148,"05/11/2023",0.148976041862479,0.013094181772427,"67",3.57542500469949,0.314260362538249
"PBS","N1",153,"05/11/2023",0.155136580757514,0.0121182934662996,"67",3.72327793818033,0.290839043191191
"PBS","N1",158,"05/11/2023",0.162610467142275,0.00778374739656528,"67",3.90265121141459,0.186809937517567
"PLA/PHA","N1",144,"05/11/2023",0.61443779613146,0.355947652527542,"67",14.746507107155,8.542743660661
"PLA/PHA","N1",149,"05/11/2023",0.601640121912233,0.352056354709303,"67",14.4393629258936,8.44935251302328
"PLA/PHA","N1",154,"05/11/2023",0.603397772708756,0.352569756697002,"67",14.4815465450102,8.46167416072805
"PLA/PHA","N1",159,"05/11/2023",0.617250832522857,0.36237470634282,"67",14.8140199805486,8.69699295222769
"PLA","N1",145,"05/11/2023",0.163291403036546,0,"67",3.91899367287711,0
"PLA","N1",150,"05/11/2023",0.13086443152763,0,"67",3.14074635666312,0
"PLA","N1",155,"05/11/2023",0.14182249300098,0.000226287834472396,"67",3.40373983202351,0.0054309080273375
"PLA","N1",160,"05/11/2023",0.142021200894212,0,"67",3.4085088214611,0
"NONE","N0",121,"05/25/2023",0.209738123532872,0,"81",5.03371496478894,0
"NONE","N0",126,"05/25/2023",0.192162082879643,0,"81",4.61188998911142,0
"NONE","N0",131,"05/25/2023",0.200593789165705,0,"81",4.81425093997693,0
"NONE","N0",136,"05/25/2023",0.195791748059013,0,"81",4.69900195341632,0
"LDPE","N0",122,"05/25/2023",0.202810276692515,0,"81",4.86744664062035,0
"LDPE","N0",127,"05/25/2023",0.205865662267015,0,"81",4.94077589440835,0
"LDPE","N0",132,"05/25/2023",0.188884509304887,0,"81",4.53322822331728,0
"LDPE","N0",137,"05/25/2023",0.194894612576027,0,"81",4.67747070182464,0
"PBS","N0",123,"05/25/2023",0.222980370758543,0.0116839029893616,"81",5.35152889820504,0.280413671744678
"PBS","N0",128,"05/25/2023",0.209798357586117,0.0201719609948552,"81",5.0351605820668,0.484127063876526
"PBS","N0",133,"05/25/2023",0.215031133525164,0.0198689854641811,"81",5.16074720460393,0.476855651140347
"PBS","N0",138,"05/25/2023",0.206504056596738,0,"81",4.95609735832171,0
"PLA/PHA","N0",124,"05/25/2023",0.707567381884527,0.458191571185124,"81",16.9816171652287,10.996597708443
"PLA/PHA","N0",129,"05/25/2023",0.619911401594395,0.318812511846747,"81",14.8778736382655,7.65150028432193
"PLA/PHA","N0",134,"05/25/2023",0.698765517503967,0.440118416895431,"81",16.7703724200952,10.5628420054903
"PLA/PHA","N0",139,"05/25/2023",0.676673473034113,0.431648510811688,"81",16.2401633528187,10.3595642594805
"PLA","N0",125,"05/25/2023",0.187432592145883,0.0109492068349939,"81",4.4983822115012,0.262780964039854
"PLA","N0",130,"05/25/2023",0.190401290922445,0.00277980080397216,"81",4.56963098213867,0.0667152192953318
"PLA","N0",135,"05/25/2023",0.183212454332658,0.00604595839762872,"81",4.3970989039838,0.145103001543089
"PLA","N0",140,"05/25/2023",0.203689690530725,0.00201610723401541,"81",4.88855257273741,0.0483865736163699
"NONE","N1",141,"05/25/2023",0.123627108381822,0,"81",2.96705060116372,0
"NONE","N1",146,"05/25/2023",0.134046948644298,0,"81",3.21712676746316,0
"NONE","N1",151,"05/25/2023",0.129226644255897,0,"81",3.10143946214152,0
"NONE","N1",156,"05/25/2023",0.133333148742926,0,"81",3.19999556983023,0
"LDPE","N1",142,"05/25/2023",0.139944615708291,0.0141599853804513,"81",3.35867077699898,0.339839649130832
"LDPE","N1",147,"05/25/2023",0.136077850224197,0.0125710673824395,"81",3.26586840538073,0.301705617178548
"LDPE","N1",152,"05/25/2023",0.136778832337909,0.00771603680214994,"81",3.28269197610982,0.185184883251599
"LDPE","N1",157,"05/25/2023",0.134515494159797,0,"81",3.22837185983513,0
"PBS","N1",143,"05/25/2023",0.153480087573736,0,"81",3.68352210176966,0
"PBS","N1",148,"05/25/2023",0.148820245011359,0.0101125392117406,"81",3.5716858802726,0.242700941081774
"PBS","N1",153,"05/25/2023",0.14553115738667,0.00615597658500781,"81",3.49274777728009,0.147743438040188
"PBS","N1",158,"05/25/2023",0.152583857697199,0.00527950950136058,"81",3.66201258473278,0.126708228032654
"PLA/PHA","N1",144,"05/25/2023",0.539442769189347,0.318840201478673,"81",12.9466264605443,7.65216483548815
"PLA/PHA","N1",149,"05/25/2023",0.525991185900399,0.29771003326991,"81",12.6237884616096,7.14504079847783
"PLA/PHA","N1",154,"05/25/2023",0.532641663425002,0.318774024241301,"81",12.7833999222,7.65057658179123
"PLA/PHA","N1",159,"05/25/2023",0.525243685414284,0.30484661138695,"81",12.6058484499428,7.3163186732868
"PLA","N1",145,"05/25/2023",0.156382265862015,0,"81",3.75317438068835,0
"PLA","N1",150,"05/25/2023",0.123032514081386,0,"81",2.95278033795328,0
"PLA","N1",155,"05/25/2023",0.124301000945952,0,"81",2.98322402270286,0
"PLA","N1",160,"05/25/2023",0.134147854284846,0,"81",3.21954850283631,0
"NONE","N0",121,"06/08/2023",0.141419549465954,0,"94",3.3940691871829,0
"NONE","N0",126,"06/08/2023",0.14713285931931,0,"94",3.53118862366345,0
"NONE","N0",131,"06/08/2023",0.188401768204764,0,"94",4.52164243691433,0
"NONE","N0",136,"06/08/2023",0.16211175009482,0,"94",3.89068200227567,0
"LDPE","N0",122,"06/08/2023",0.154999923006575,0.00512278626728497,"94",3.71999815215781,0.122946870414839
"LDPE","N0",127,"06/08/2023",0.139481110076172,0,"94",3.34754664182812,0
"LDPE","N0",132,"06/08/2023",0.146267193338618,0,"94",3.51041264012683,0
"LDPE","N0",137,"06/08/2023",0.149441745082193,0,"94",3.58660188197263,0
"PBS","N0",123,"06/08/2023",0.164065754947389,0.00939290306775545,"94",3.93757811873733,0.225429673626131
"PBS","N0",128,"06/08/2023",0.153815651277549,0.0101538975098401,"94",3.69157563066118,0.243693540236162
"PBS","N0",133,"06/08/2023",0.175021804532014,0.0105436356824903,"94",4.20052330876834,0.253047256379767
"PBS","N0",138,"06/08/2023",0.156835563417505,0.00934570004089352,"94",3.76405352202012,0.224296800981444
"PLA/PHA","N0",124,"06/08/2023",0.789647759236377,0.508314730680585,"94",18.9515462216731,12.199553536334
"PLA/PHA","N0",129,"06/08/2023",0.79298402344402,0.51420520841352,"94",19.0316165626565,12.3409250019245
"PLA/PHA","N0",134,"06/08/2023",0.793023574137146,0.506610914669156,"94",19.0325657792915,12.1586619520597
"PLA/PHA","N0",139,"06/08/2023",0.670187883155732,0.426825365697015,"94",16.0845091957376,10.2438087767284
"PLA","N0",125,"06/08/2023",0.150193622749852,0.0112994626312972,"94",3.60464694599644,0.271187103151132
"PLA","N0",130,"06/08/2023",0.16114487543174,0.00161485668177823,"94",3.86747701036177,0.0387565603626775
"PLA","N0",135,"06/08/2023",0.152913374805512,0,"94",3.6699209953323,0
"PLA","N0",140,"06/08/2023",0.155406784543246,0.0024132570822637,"94",3.72976282903792,0.0579181699743288
"NONE","N1",141,"06/08/2023",0.0936580673781163,0,"94",2.24779361707479,0
"NONE","N1",146,"06/08/2023",0.0956479225565429,0,"94",2.29555014135703,0
"NONE","N1",151,"06/08/2023",0.095561500220137,0,"94",2.29347600528329,0
"NONE","N1",156,"06/08/2023",0.100568175593769,0,"94",2.41363621425047,0
"LDPE","N1",142,"06/08/2023",0.104921099213197,0.0219325483655593,"94",2.51810638111673,0.526381160773424
"LDPE","N1",147,"06/08/2023",0.139516111462021,0.00593237697006988,"94",3.34838667508851,0.142377047281677
"LDPE","N1",152,"06/08/2023",0.154924723164651,0.0179254923120006,"94",3.71819335595163,0.430211815488014
"LDPE","N1",157,"06/08/2023",0.133625635365737,0,"94",3.20701524877769,0
"PBS","N1",143,"06/08/2023",0.133427956027595,0.00730421002576074,"94",3.20227094466229,0.175301040618258
"PBS","N1",148,"06/08/2023",0.139247244789056,0.00626148386456978,"94",3.34193387493734,0.150275612749675
"PBS","N1",153,"06/08/2023",0.114325563431816,0.00315836866598353,"94",2.74381352236358,0.0758008479836047
"PBS","N1",158,"06/08/2023",0.122695571965249,0.00585959078869314,"94",2.94469372716598,0.140630178928635
"PLA/PHA","N1",144,"06/08/2023",0.448214060672194,0.27281646864211,"94",10.7571374561327,6.54759524741064
"PLA/PHA","N1",149,"06/08/2023",0.349805443095397,0.218273470700151,"94",8.39533063428952,5.23856329680363
"PLA/PHA","N1",154,"06/08/2023",0.381510256550744,0.232827589858658,"94",9.15624615721785,5.58786215660779
"PLA/PHA","N1",159,"06/08/2023",0.38606023741908,0.237318089920698,"94",9.26544569805791,5.69563415809675
"PLA","N1",145,"06/08/2023",0.125053195726998,0.00022978162030861,"94",3.00127669744795,0.00551475888740664
"PLA","N1",150,"06/08/2023",0.112362549995974,0,"94",2.69670119990337,0
"PLA","N1",155,"06/08/2023",0.104617178970772,0,"94",2.51081229529853,0
"PLA","N1",160,"06/08/2023",0.132410311525552,0,"94",3.17784747661326,0
"NONE","N0",121,"06/23/2023",0.108003009648149,0,"110",2.59207223155559,0
"NONE","N0",126,"06/23/2023",0.107451421292193,0,"110",2.57883411101264,0
"NONE","N0",131,"06/23/2023",0.137859305676099,0,"110",3.30862333622638,0
"NONE","N0",136,"06/23/2023",0.128711335892522,0,"110",3.08907206142054,0
"LDPE","N0",122,"06/23/2023",0.121799569753011,0,"110",2.92318967407226,0
"LDPE","N0",127,"06/23/2023",0.13778644866929,0,"110",3.30687476806297,0
"LDPE","N0",132,"06/23/2023",0.146611406587465,0,"110",3.51867375809916,0
"LDPE","N0",137,"06/23/2023",0.136656101502189,0,"110",3.27974643605254,0
"PBS","N0",123,"06/23/2023",0.141580666098695,0.0128340987517915,"110",3.39793598636869,0.308018370042995
"PBS","N0",128,"06/23/2023",0.17596214684049,0.0183351713085324,"110",4.22309152417177,0.440044111404777
"PBS","N0",133,"06/23/2023",0.183616101528556,0.0132695325032717,"110",4.40678643668535,0.318468780078521
"PBS","N0",138,"06/23/2023",0.146979221279999,0.0119406733230107,"110",3.52750131071997,0.286576159752256
"PLA/PHA","N0",124,"06/23/2023",0.399708306032573,0.245464216569581,"110",9.59299934478176,5.89114119766994
"PLA/PHA","N0",129,"06/23/2023",0.369584301532041,0.23727089633741,"110",8.87002323676898,5.69450151209785
"PLA/PHA","N0",134,"06/23/2023",0.397698798379694,0.247824780114479,"110",9.54477116111267,5.9477947227475
"PLA/PHA","N0",139,"06/23/2023",0.419124055805216,0.243593032842303,"110",10.0589773393252,5.84623278821528
"PLA","N0",125,"06/23/2023",0.173072731206038,0.00459599410173428,"110",4.15374554894491,0.110303858441623
"PLA","N0",130,"06/23/2023",0.155398125966088,0.000725670513795417,"110",3.72955502318611,0.01741609233109
"PLA","N0",135,"06/23/2023",0.210383435550079,0.00466956805190866,"110",5.0492024532019,0.112069633245808
"PLA","N0",140,"06/23/2023",0.195651914712662,0.00567577929713127,"110",4.69564595310388,0.13621870313115
"NONE","N1",141,"06/23/2023",0.189264252174803,0,"110",4.54234205219528,0
"NONE","N1",146,"06/23/2023",0.184728685073318,0,"110",4.43348844175962,0
"NONE","N1",151,"06/23/2023",0.170443215555001,0,"110",4.09063717332003,0
"NONE","N1",156,"06/23/2023",0.134407789324901,0,"110",3.22578694379763,0
"LDPE","N1",142,"06/23/2023",0.118968440838968,0.0163591351287012,"110",2.85524258013524,0.392619243088829
"LDPE","N1",147,"06/23/2023",0.118596299044305,0.015697292798073,"110",2.84631117706332,0.376735027153752
"LDPE","N1",152,"06/23/2023",0.115977581815997,0.0248726299210024,"110",2.78346196358394,0.596943118104058
"LDPE","N1",157,"06/23/2023",0.121701657175074,0.00813376331714157,"110",2.92083977220177,0.195210319611398
"PBS","N1",143,"06/23/2023",0.14499661285081,0.00566704803845194,"110",3.47991870841943,0.136009152922846
"PBS","N1",148,"06/23/2023",0.129359502627315,0.00186662043224264,"110",3.10462806305556,0.0447988903738233
"PBS","N1",153,"06/23/2023",0.191158983516944,0.00306608969309015,"110",4.58781560440667,0.0735861526341636
"PBS","N1",158,"06/23/2023",0.182803625401926,0.00513255551631059,"110",4.38728700964621,0.123181332391454
"PLA/PHA","N1",144,"06/23/2023",0.343820560458795,0.183232149110702,"110",8.25169345101109,4.39757157865684
"PLA/PHA","N1",149,"06/23/2023",0.340844070046836,0.172449571867117,"110",8.18025768112406,4.1387897248108
"PLA/PHA","N1",154,"06/23/2023",0.364434038646801,0.17686501693041,"110",8.74641692752322,4.24476040632984
"PLA/PHA","N1",159,"06/23/2023",0.334520347082582,0.175413577823188,"110",8.02848832998196,4.20992586775652
"PLA","N1",145,"06/23/2023",0.15975474093376,0.000387326014556444,"110",3.83411378241025,0.00929582434935465
"PLA","N1",150,"06/23/2023",0.10239595236575,0,"110",2.45750285677801,0
"PLA","N1",155,"06/23/2023",0.117879005434729,0.00176374647215948,"110",2.82909613043349,0.0423299153318275
"PLA","N1",160,"06/23/2023",0.138196064483903,0,"110",3.31670554761368,0
"NONE","N0",121,"07/06/2023",0.144401158717086,0,"123",3.46562780921007,0
"NONE","N0",126,"07/06/2023",0.147351976312873,0,"123",3.53644743150895,0
"NONE","N0",131,"07/06/2023",0.163391892369742,0,"123",3.92140541687381,0
"NONE","N0",136,"07/06/2023",0.169288105103808,0,"123",4.0629145224914,0
"LDPE","N0",122,"07/06/2023",0.156685059389444,0,"123",3.76044142534666,0
"LDPE","N0",127,"07/06/2023",0.159942215496311,0.00772196446063731,"123",3.83861317191147,0.185327147055295
"LDPE","N0",132,"07/06/2023",0.166372067990005,0.00536060851426284,"123",3.99292963176012,0.128654604342308
"LDPE","N0",137,"07/06/2023",0.156473336442103,0.0178810202365838,"123",3.75536007461047,0.42914448567801
"PBS","N0",123,"07/06/2023",0.155017180259139,0.00965376567843549,"123",3.72041232621934,0.231690376282452
