"","Jar No","Sample ID","Plastic","Nitrogen","Treatment","Time1","Time","Plastic code","DOC","MBC","Nitrate","Ammonium","pH","BG","CB","LAP","XYL","TN","SOC","13C"
"115",115,"PLN1T3","PLA","N1","PLA-N1","T3","30D","PL",78.0302612784598,92.8959020018126,102.441951272548,0.0583648189549159,5.69,79.1684176007415,36.9417757695198,27.5571941300701,18.8330428303613,0.125,1.852,-21.214687581922
"116",116,"CON1T3","NONE","N1","NONE-N1","T3","30D","CO",76.6100149550734,98.8290598936122,98.4507361150411,0.474170400459459,5.6,77.8217505520655,38.7722028722271,27.9717582680233,18.6849869875366,0.12,1.112,-26.8345880546601
"117",117,"LDN1T3","LDPE","N1","LDPE-N1","T3","30D","LD",73.7159792385845,141.53173190248,94.6416693585252,0.228646717201043,5.58,76.5993381564078,34.0315237512643,30.5780102549524,17.6907120794241,0.125,2.45,-31.2372515513675
"118",118,"BSN1T3","PBS","N1","PBS-N1","T3","30D","BS",74.7988095997804,113.006242574963,89.1082820885858,0.142982823638301,5.49,82.138815702929,35.7423749148566,30.4586427743329,17.2327227902654,0.128,1.941,-22.8186243181501
"119",119,"HAN1T3","PLA/PHA","N1","PLA/PHA-N1","T3","30D","HA",89.69115769312,323.687152145821,35.6820087614776,0.557113213929167,6.46,94.1314553134263,40.2233251881713,189.314860125788,21.3329239413508,0.122,1.821,-21.1075544029755
"120",120,"PLN1T3","PLA","N1","PLA-N1","T3","30D","PL",79.4516885556667,110.564646021188,105.344590067483,0.482117715613584,5.65,81.0682785011222,34.2435025750736,34.3126178703206,15.4022939257128,0.124,1.854,-20.3402767785203
"121",121,"CON0T4","NONE","N0","NONE-N0","T4","193D","CO",44.0504,300.042,101.096278941589,0.816280794602435,5.95,71.7128755232931,32.3464515849092,19.7560586910299,13.4920064354727,0.094,1.034,-25.845
"122",122,"LDN0T4","LDPE","N0","LDPE-N0","T4","193D","LD",46.32876,302.236093333333,102.108322449641,0.470542873914585,5.81,67.6351361855295,27.2875588420899,22.0698820122241,15.183285639058,0.094,2.616,-31.084
"123",123,"BSN0T4","PBS","N0","PBS-N0","T4","193D","BS",46.7522,313.893333333333,108.763253006824,0.54235785042205,5.75,62.4471755486204,21.8551782238311,20.8676070588479,10.5048093036293,0.078,2.071,-21.022
"124",124,"HAN0T4","PLA/PHA","N0","PLA/PHA-N0","T4","193D","HA",42.33452,316.490853333333,108.154129023073,1.24149670214673,6.39,68.8002046608783,26.6573246188853,199.985939561399,12.749243898625,0.083,1.602,-20.397
"125",125,"PLN0T4","PLA","N0","PLA-N0","T4","193D","PL",48.62924,219.627373333333,101.548049016054,0.885304053935743,5.72,72.5730886226845,31.2940271036595,22.5767803237847,15.6697094258977,0.081,2.045,-18.892
"126",126,"CON0T4","NONE","N0","NONE-N0","T4","193D","CO",47.44424,277.970453333333,101.930857185398,1.11939056485667,5.97,71.3794294468602,30.9555708503562,23.2641653525989,15.5602928548056,0.085,1.021,-25.994
"127",127,"LDN0T4","LDPE","N0","LDPE-N0","T4","193D","LD",46.75536,317.843333333333,95.1568399435921,0.502264273743057,5.83,64.5319613707453,28.9315128267253,22.9014355531625,15.8889521850221,0.088,2.69,-31.142
"128",128,"BSN0T4","PBS","N0","PBS-N0","T4","193D","BS",47.005,266.831453333333,105.399121868785,0.783216770444435,5.74,69.9788922452235,31.1742978785923,24.3412701609458,16.1835605404898,0.077,2.089,-21.045
"129",129,"HAN0T4","PLA/PHA","N0","PLA/PHA-N0","T4","193D","HA",42.2334,289.627693333333,98.2056620666209,0.844660685964215,6.43,71.9360505187271,27.1084760354783,205.753393284508,11.9506188890582,0.082,1.614,-20.527
"130",130,"PLN0T4","PLA","N0","PLA-N0","T4","193D","PL",46.4994,246.913973333333,96.8795689867372,0.658880992376163,5.76,65.0337591623953,29.3686127198048,21.3570960913538,15.8404537243395,0.081,2.024,-17.42
"131",131,"CON0T4","NONE","N0","NONE-N0","T4","193D","CO",46.51204,327.696213333333,102.56306574302,0.66551959179557,5.91,73.0076031277718,33.7006188980918,26.1724949698319,16.6785566898413,0.086,1.05,-26.169
"132",132,"LDN0T4","LDPE","N0","LDPE-N0","T4","193D","LD",43.69964,331.541933333333,95.9308237561462,0.657241984932441,5.81,73.9993801132822,34.0753744534734,28.4971239193416,18.781904543466,0.089,2.672,-31.04
"133",133,"BSN0T4","PBS","N0","PBS-N0","T4","193D","BS",47.25464,358.379813333333,75.5837132917326,1.13345326039507,5.76,74.8155133799143,34.3854716089242,31.5154559538792,19.1555141262599,0.076,1.943,-21.285
"134",134,"HAN0T4","PLA/PHA","N0","PLA/PHA-N0","T4","193D","HA",47.0524,292.579133333333,79.2912157042229,1.04209398930068,6.45,66.9492481130855,24.7866897557837,198.490646927013,11.5633623351069,0.083,1.593,-21.056
"135",135,"PLN0T4","PLA","N0","PLA-N0","T4","193D","PL",46.35088,291.308813333333,77.7049015143991,0.933095244411433,5.69,81.4260307603124,39.7047811635083,32.874614608327,20.1582114705173,0.084,2.246,-17.419
"136",136,"CON0T4","NONE","N0","NONE-N0","T4","193D","CO",47.88664,294.459333333333,88.8844641840547,0.620039945058125,5.88,74.9211078697248,36.1250129090973,30.9957861261954,16.9652706803845,0.083,0.996,-27.099
"137",137,"LDN0T4","LDPE","N0","LDPE-N0","T4","193D","LD",45.30176,321.259293333333,98.2921392826695,0.74398437756148,5.81,73.4328413999808,35.6672155063509,35.3017383793918,17.102907838157,0.088,2.592,-32.074
"138",138,"BSN0T4","PBS","N0","PBS-N0","T4","193D","BS",53.12592,316.468733333333,103.742200198907,0.962409301334421,5.75,69.8135334862766,33.1528266912646,32.2873416099808,16.1033895552711,0.077,2.093,-22.729
"139",139,"HAN0T4","PLA/PHA","N0","PLA/PHA-N0","T4","193D","HA",43.47212,296.876733333333,100.229032148212,1.15232014225129,6.47,69.8348371298506,27.0257678007267,203.033883740585,12.851160529269,0.082,1.538,-22.715
"140",140,"PLN0T4","PLA","N0","PLA-N0","T4","193D","PL",46.23396,263.570333333333,112.957494425678,0.861681556210345,5.71,69.3683052765549,33.4503999087379,31.5235790797483,16.3548584115558,0.083,2.043,-19.481
"141",141,"CON1T4","NONE","N1","NONE-N1","T4","193D","CO",54.29512,315.312173333333,170.050895173867,1.12497356019262,5.22,65.778598355146,31.8804450485949,19.9558178963315,15.4674705765665,0.092,1.03,-30.536
"142",142,"LDN1T4","LDPE","N1","LDPE-N1","T4","193D","LD",49.533,345.591293333333,173.122758134309,0.78124888911166,5.29,64.861713817178,32.195283204031,20.9866397222234,17.8381853049194,0.1,2.548,-33.791
"143",143,"BSN1T4","PBS","N1","PBS-N1","T4","193D","BS",55.5844,362.506773333333,171.895324363534,1.23533542819067,5.29,65.2230802120245,34.45038280116,22.4155342185428,18.372512805596,0.082,1.927,-23.794
"144",144,"HAN1T4","PLA/PHA","N1","PLA/PHA-N1","T4","193D","HA",45.11532,313.504653333333,175.103387539889,0.972033394347766,6.35,68.3746879121123,30.053907233798,209.509570953672,15.1822355051769,0.09,1.593,-25.294
"145",145,"PLN1T4","PLA","N1","PLA-N1","T4","193D","PL",52.85416,311.709773333333,165.492933563991,0.848852550410687,5.29,59.2886564547699,31.7322770248102,17.4505464334719,16.1091445274827,0.09,2.024,-21.219
"146",146,"CON1T4","NONE","N1","NONE-N1","T4","193D","CO",48.82516,322.656013333333,164.2087439627,0.541008701540403,5.23,64.4377081484652,35.5144801948216,22.7907908227121,19.2729752670064,0.091,1.05,-30.932
"147",147,"LDN1T4","LDPE","N1","LDPE-N1","T4","193D","LD",46.7364,336.917093333333,177.332448360883,0.857362350414805,5.26,61.6498367546173,30.205926393235,21.7563815411945,15.8246030496571,0.098,2.647,-32.152
"148",148,"BSN1T4","PBS","N1","PBS-N1","T4","193D","BS",48.33852,341.239973333333,165.008887659752,0.667200196825357,5.3,61.5274508434475,32.696069697323,23.9858351375169,16.9905541782499,0.086,1.967,-24.58
"149",149,"HAN1T4","PLA/PHA","N1","PLA/PHA-N1","T4","193D","HA",46.00328,327.560333333333,160.168666085693,1.02118337806475,6.39,74.3510490776523,27.7057205997593,202.286324960776,12.5335081260286,0.089,1.554,-24.965
"150",150,"PLN1T4","PLA","N1","PLA-N1","T4","193D","PL",49.7931733333333,320.387133333333,171.979000720663,1.22620733389369,5.27,63.2350334413739,29.7663190207203,27.5499890000196,9.91328614846902,0.089,1.945,-21.257
"151",151,"CON1T4","NONE","N1","NONE-N1","T4","193D","CO",54.3046,341.429573333333,162.449761869763,1.01861112774216,5.26,70.7857152671793,33.6708249673703,26.0372642800572,11.6675902258727,0.093,1.063,-31.165
"152",152,"LDN1T4","LDPE","N1","LDPE-N1","T4","193D","LD",46.22448,353.800973333333,167.034360081474,1.26035487990086,5.27,67.7008227304461,28.8550012652227,27.2721303744068,10.5356650060548,0.098,2.794,-33.388
"153",153,"BSN1T4","PBS","N1","PBS-N1","T4","193D","BS",49.38132,369.869573333333,120.132346056229,0.501017960408707,5.29,67.2109523096615,30.1612947373472,26.2349994634244,10.3539778044562,0.084,2.1,-23.974
"154",154,"HAN1T4","PLA/PHA","N1","PLA/PHA-N1","T4","193D","HA",46.87544,366.684293333333,144.165782852239,1.16964826469116,6.39,76.3235453244044,28.264631326708,202.925930750272,13.1189336372245,0.085,1.591,-24.268
"155",155,"PLN1T4","PLA","N1","PLA-N1","T4","193D","PL",46.87544,342.033133333333,134.735394293024,0.61089930704744,5.32,65.3614695547232,29.7687071372211,25.4602313011239,12.0461698339005,0.085,1.958,-21.945
"156",156,"CON1T4","NONE","N1","NONE-N1","T4","193D","CO",49.06216,335.375013333333,121.216404547951,0.423721384852712,5.24,66.5958784968037,30.4824215690162,25.3938961638886,13.3543248546941,0.087,1.051,-25.748
"157",157,"LDN1T4","LDPE","N1","LDPE-N1","T4","193D","LD",46.3414,362.800653333333,162.191524611189,0.689129403737376,5.24,66.0786042785404,28.8268019200529,25.7019387466183,12.6727493085218,0.098,2.675,-30.702
"158",158,"BSN1T4","PBS","N1","PBS-N1","T4","193D","BS",49.81424,337.801893333333,176.458254193014,0.81832661113026,5.33,64.3938544456729,30.8199996096542,25.6105095217209,13.2098326807402,0.084,2.091,-20.325
"159",159,"HAN1T4","PLA/PHA","N1","PLA/PHA-N1","T4","193D","HA",51.55224,339.422973333333,159.830406812514,1.78973454301075,6.29,74.0693081886591,27.7203391152291,189.54751121939,14.3560399608724,0.09,1.653,-19.98
"160",160,"PLN1T4","PLA","N1","PLA-N1","T4","193D","PL",49.64992,314.974053333333,160.340824258076,1.19668714041267,5.33,66.3590274603977,30.7941584937714,26.3052609725544,12.9073261563487,0.087,2.027,-17.808
